date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:39:30	32261/32261	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:15%20GMT	https://preview.colorlib.com/theme/academia/	C:/Umidjon/preview.colorlib.com/theme/academia/index.html	(from )
21:39:30	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
21:39:31	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Umidjon/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://preview.colorlib.com/theme/academia/)
21:39:31	46591/46591	---M-Z	200	added ('OK')	text/css	etag:%225eb03eae-b5ff%22	https://cdnjs.cloudflare.com/ajax/libs/ionicons/4.5.6/css/ionicons.min.css	C:/Umidjon/cdnjs.cloudflare.com/ajax/libs/ionicons/4.5.6/css/ionicons.min.css	(from https://preview.colorlib.com/theme/academia/)
21:39:32	53553/53553	---M-Z	200	added ('OK')	text/css	etag:%22d131-5c1f9a2904454-gzip%22	https://preview.colorlib.com/theme/academia/css/animate.css	C:/Umidjon/preview.colorlib.com/theme/academia/css/animate.css	(from https://preview.colorlib.com/theme/academia/)
21:39:32	1989/1989	---M-Z	200	added ('OK')	text/css	etag:%227c5-5c1f9a2904454-gzip%22	https://preview.colorlib.com/theme/academia/css/flaticon.css	C:/Umidjon/preview.colorlib.com/theme/academia/css/flaticon.css	(from https://preview.colorlib.com/theme/academia/)
21:39:33	2178/2178	---M-Z	200	added ('OK')	text/css	etag:%22882-5c21cf2163a6d-gzip%22	https://preview.colorlib.com/theme/academia/css/tiny-slider.css	C:/Umidjon/preview.colorlib.com/theme/academia/css/tiny-slider.css	(from https://preview.colorlib.com/theme/academia/)
21:39:33	8815/8815	---M-Z	200	added ('OK')	text/css	etag:%22226f-5c1f9a2904454-gzip%22	https://preview.colorlib.com/theme/academia/css/glightbox.min.css	C:/Umidjon/preview.colorlib.com/theme/academia/css/glightbox.min.css	(from https://preview.colorlib.com/theme/academia/)
21:39:33	5860/5860	---M-Z	200	added ('OK')	text/css	etag:%2216e4-5c1f9a2904454-gzip%22	https://preview.colorlib.com/theme/academia/css/aos.css	C:/Umidjon/preview.colorlib.com/theme/academia/css/aos.css	(from https://preview.colorlib.com/theme/academia/)
21:39:34	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Thu,%2007%20Dec%202023%2016:39:34%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	C:/Umidjon/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/academia/)
